subject,rho,pval,zscore,task,dataset,age,age_months,movie_FD,Age,AgeGroup1,sex,Unnamed: 0,session
sub-pixar007,0.1612468688343938,0.0009990009990009,3.2685729977448568,partlycloudy,partlycloudy,,50.98973306399999,0.3180865750502992,4.249144422,U05,M,,
sub-pixar008,0.0106213603014404,0.8191808191808192,0.241598955284685,partlycloudy,partlycloudy,,42.349075979999995,0.3035920657604791,3.529089665,U05,F,,
sub-pixar009,0.2396526097775048,0.0009990009990009,4.900977673806031,partlycloudy,partlycloudy,,42.217659131999994,0.3775008920962419,3.518138261,U05,M,,
sub-pixar010,0.0888912316701797,0.0749250749250749,1.851416370861455,partlycloudy,partlycloudy,,52.303901436000004,0.0907933435065867,4.358658453,U05,M,,
sub-pixar011,0.2709131779006016,0.0009990009990009,5.37211579709199,partlycloudy,partlycloudy,,47.80287474,0.2437497619850299,3.983572895,U05,F,,
sub-pixar012,0.2244295682615033,0.0009990009990009,4.425357040114984,partlycloudy,partlycloudy,,45.437371668,0.517725907390419,3.786447639,U05,F,,
sub-pixar013,0.2487757613767715,0.0009990009990009,5.079204195724551,partlycloudy,partlycloudy,,46.193018484,0.1022715976089819,3.849418207,U05,M,,
sub-pixar014,0.2388729696216063,0.0009990009990009,4.624940161905975,partlycloudy,partlycloudy,,43.63039014,0.1197814476645748,3.635865845,U05,M,,
sub-pixar015,0.246089451817154,0.0009990009990009,4.87458490401333,partlycloudy,partlycloudy,,57.19917864,0.2672847396167666,4.76659822,U05,F,,
sub-pixar016,0.1709593839138298,0.0009990009990009,3.46721921692292,partlycloudy,partlycloudy,,43.466119092,0.4932734133413172,3.622176591,U05,M,,
sub-pixar017,0.3095717880160175,0.0009990009990009,6.351278422024493,partlycloudy,partlycloudy,,43.367556468000004,0.1411798944131735,3.613963039,U05,F,,
sub-pixar018,0.1379836156771547,0.0079920079920079,2.706856180855361,partlycloudy,partlycloudy,,54.932238192,0.3396489695736528,4.577686516,U05,M,,
sub-pixar019,-0.0833383053788147,0.0929070929070929,-1.641566651596732,partlycloudy,partlycloudy,,47.638603692000004,0.2317125657245509,3.969883641,U05,M,,
sub-pixar020,0.201144334333187,0.0009990009990009,4.034775824002222,partlycloudy,partlycloudy,,43.137577007999994,0.245403793942515,3.594798084,U05,M,,
sub-pixar021,0.1008613885298237,0.0449550449550449,2.0196501912488296,partlycloudy,partlycloudy,,52.369609860000004,0.3951822610299403,4.364134155,U05,F,,
sub-pixar022,0.1533610177814456,0.0019980019980019,2.988370697310966,partlycloudy,partlycloudy,,45.864476388,0.1973988877765868,3.822039699,U05,F,,
sub-pixar023,0.1695071808736087,0.0029970029970029,3.409008274920436,partlycloudy,partlycloudy,,46.390143732,0.1621074052706586,3.865845311,U05,F,,
sub-pixar024,0.2496626059096883,0.0009990009990009,4.898698605084038,partlycloudy,partlycloudy,,48.689938404,0.1971744680667063,4.057494867,U05,M,,
sub-pixar025,-0.1479369110692046,0.0049950049950049,-2.956502014941396,partlycloudy,partlycloudy,,47.17864476,0.3292548678747365,3.93155373,U05,F,,
sub-pixar026,-0.0423162167807459,0.3886113886113886,-0.8407604506874541,partlycloudy,partlycloudy,,47.17864476,0.186178754982515,3.93155373,U05,F,,
