Unnamed: 0,measure,region_name,score,task,subject_id,dataset,age_months
83360,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_PFCm_1,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83361,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_PFCm_2,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83362,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_PFCm_3,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83363,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_PFCm_4,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83364,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_PFCm_5,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83365,TPHATE_DiffOp_IDE,17Networks_LH_DefaultA_PFCm_6,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83366,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_Temp_1,7.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83367,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_Temp_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83368,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_Temp_3,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83369,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_Temp_4,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83370,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_Temp_5,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83371,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_Temp_6,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83372,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_IPL_1,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83373,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_IPL_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83374,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCd_1,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83375,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCd_2,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83376,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCd_3,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83377,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCd_4,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
